,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
165,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
166,$10+ billion (USD),Interview Query,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science content developer,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
167,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,74880.0
168,$10+ billion (USD),Amer Technology In,Information Technology,TX,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
169,$10+ billion (USD),Spotify,Insurance,NY,Company - Public,Insurance Agencies & Brokerages,"machine learning research scientist, algorithmic impact & responsibility",1931.0,3.5,760,10000+ Employees,1,0,74880.0
170,Unknown / Non-Applicable,Urbane Systems LLC,Information Technology,Remote,Company - Public,Internet,data engineer,2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
171,$10+ billion (USD),US Internal Revenue Service,Manufacturing,VI,Company - Public,Consumer Products Manufacturing,mathematical statistician (data scientist) or statistician (data scientist),1837.0,4.2,1240,10000+ Employees,1,0,74880.0
172,Unknown / Non-Applicable,McKinsey & Company,Government,MA,Government,Federal Agencies,junior data engineer - quantumblack,1862.0,3.7,633,10000+ Employees,1,0,74880.0
173,Unknown / Non-Applicable,Okaya Inc,Business Services,Remote,Company - Private,Consulting,data scientist (ibm watson),1926.0,4.4,573,10000+ Employees,1,0,74880.0
174,$500 million to $1 billion (USD),Pacific Northwest National Laboratory,"Oil, Gas, Energy & Utilities",WA,Government,Energy,data scientist,1965.0,,630,1001 to 5000 Employees,1,0,74880.0
175,$500 million to $1 billion (USD),IntegrateUs Services,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist,1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
176,$25 to $50 million (USD),Cisco Systems,Information Technology,CA,Company - Private,IT Services,data visualization engineer,2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
177,$10+ billion (USD),Procter & Gamble,Information Technology,OH,Company - Private,Computer Hardware & Software,data scientist phd,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
178,$10+ billion (USD),Salesforce,Manufacturing,MA,Company - Public,Consumer Products Manufacturing,fall 2021 co-op - data and automation analyst,1837.0,4.2,693,10000+ Employees,1,0,74880.0
179,$10+ billion (USD),BigRIO,Information Technology,,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,700,10000+ Employees,1,0,74880.0
180,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2004.0,4.3,1300,10000+ Employees,1,0,74880.0
181,Unknown / Non-Applicable,SquadMethod,Information Technology,Remote,Company - Public,Internet,senior data consultant,2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
182,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
183,$10+ billion (USD),Interview Query,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science content developer,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
184,$10+ billion (USD),Amer Technology In,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,data scientist,1957.0,3.9,853,10000+ Employees,1,0,74880.0
185,$10+ billion (USD),NSI Inc.,Information Technology,Remote,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
186,$10+ billion (USD),Urbane Systems LLC,Insurance,Remote,Company - Public,Insurance Agencies & Brokerages,data engineer,1931.0,3.5,760,10000+ Employees,1,0,74880.0
187,Unknown / Non-Applicable,Pacific Northwest National Laboratory,Information Technology,WA,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
188,$500 million to $1 billion (USD),Okaya Inc,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist (ibm watson),1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
189,Unknown / Non-Applicable,IntegrateUs Services,Government,Remote,Government,Federal Agencies,data scientist,1862.0,3.7,633,10000+ Employees,1,0,74880.0
190,Unknown / Non-Applicable,Procter & Gamble,Business Services,OH,Company - Private,Consulting,data scientist masters,1926.0,4.4,573,10000+ Employees,1,0,74880.0
191,$10+ billion (USD),Newsly Technologies,Manufacturing,,Company - Public,Consumer Products Manufacturing,data scientist,1837.0,4.2,1240,10000+ Employees,1,0,74880.0
192,Unknown / Non-Applicable,"PMCS Services, Inc",Information Technology,TX,Company - Public,Internet,data scientist,2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
193,$25 to $50 million (USD),Cisco Systems,Information Technology,CA,Company - Private,IT Services,data visualization engineer,2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
194,$10+ billion (USD),Halo Solutions,Information Technology,Remote,Company - Private,Computer Hardware & Software,data scientist,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
195,$10+ billion (USD),SquadMethod,Information Technology,Remote,Company - Public,Computer Hardware & Software,senior data consultant,1999.0,4.4,700,10000+ Employees,1,0,74880.0
196,$10+ billion (USD),Identical Soft,Information Technology,WA,Company - Public,Internet,data scientist,2004.0,4.3,1300,10000+ Employees,1,0,74880.0
197,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
198,$10+ billion (USD),Interview Query,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science content developer,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
199,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
200,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,74880.0
201,$500 million to $1 billion (USD),Pacific Northwest National Laboratory,"Oil, Gas, Energy & Utilities",WA,Government,Energy,data scientist,1965.0,,1013,1001 to 5000 Employees,1,0,74880.0
202,,IntegrateUs Services,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist,1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
203,$10+ billion (USD),Allstate,Insurance,IL,Company - Public,Insurance Agencies & Brokerages,avail - staff data scientist (remote home based worker),1931.0,,729,10000+ Employees,1,0,74880.0
204,$10+ billion (USD),Urbane Systems LLC,Insurance,Remote,Company - Public,Insurance Agencies & Brokerages,data engineer,1931.0,3.5,760,10000+ Employees,1,0,74880.0
205,$25 to $50 million (USD),US Internal Revenue Service,Information Technology,VI,Company - Private,IT Services,mathematical statistician (data scientist) or statistician (data scientist),2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
206,Unknown / Non-Applicable,McKinsey & Company,Government,MA,Government,Federal Agencies,junior data engineer - quantumblack,1862.0,3.7,633,10000+ Employees,1,0,74880.0
207,Unknown / Non-Applicable,Identical Soft,Business Services,WA,Company - Private,Consulting,data scientist,1926.0,4.4,573,10000+ Employees,1,0,74880.0
208,Unknown / Non-Applicable,Okaya Inc,Information Technology,Remote,Company - Public,Internet,data scientist (ibm watson),2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
209,Unknown / Non-Applicable,Halo Solutions,Information Technology,Remote,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
210,$10+ billion (USD),DeepHow,Information Technology,Remote,Company - Public,Internet,data scientist,2004.0,4.3,1300,10000+ Employees,1,0,74880.0
211,$10+ billion (USD),Procter & Gamble,Manufacturing,OH,Company - Public,Consumer Products Manufacturing,data scientist masters,1837.0,4.2,730,10000+ Employees,1,0,74880.0
212,$10+ billion (USD),Journey Foods,Manufacturing,TX,Company - Public,Consumer Products Manufacturing,data scientist,1837.0,4.2,1240,10000+ Employees,1,0,74880.0
213,Unknown / Non-Applicable,Measurabl,Information Technology,CA,Company - Private,Enterprise Software & Network Solutions,data scientist,2013.0,4.0,877,51 to 200 Employees,1,0,74880.0
214,$10+ billion (USD),Cisco Systems,Information Technology,CA,Company - Private,Computer Hardware & Software,data visualization engineer,,4.5,554,51 to 200 Employees,1,0,74880.0
215,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Private,Computer Hardware & Software,statistical programmer 1,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
216,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
217,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,840,10000+ Employees,1,0,110240.0
218,$10+ billion (USD),Interview Query,Manufacturing,Remote,Company - Public,Transportation Equipment Manufacturing,data science content developer,1957.0,3.9,853,10000+ Employees,1,0,110240.0
219,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,WA,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,110240.0
220,,NSI Inc.,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist,1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
221,$25 to $50 million (USD),McKinsey & Company,Information Technology,MA,Company - Private,IT Services,junior data engineer - quantumblack,2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
222,Unknown / Non-Applicable,US Internal Revenue Service,Business Services,VI,Company - Private,Consulting,mathematical statistician (data scientist) or statistician (data scientist),1926.0,4.4,573,10000+ Employees,1,0,110240.0
223,$10+ billion (USD),Cisco Systems,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data visualization engineer,1837.0,4.2,1240,10000+ Employees,1,0,110240.0
224,$10+ billion (USD),Procter & Gamble,Information Technology,OH,Company - Private,Computer Hardware & Software,data scientist phd,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
225,$10+ billion (USD),Spotify,Manufacturing,NY,Company - Public,Consumer Products Manufacturing,"machine learning research scientist, algorithmic impact & responsibility",1837.0,4.2,693,10000+ Employees,1,0,110240.0
226,Unknown / Non-Applicable,Salesforce,Information Technology,MA,Company - Public,Internet,fall 2021 co-op - data and automation analyst,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
227,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Computer Hardware & Software,"data scientist, creation platform",1999.0,4.4,700,10000+ Employees,1,0,110240.0
228,Unknown / Non-Applicable,Urbane Systems LLC,Information Technology,Remote,Company - Public,Internet,data engineer,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
229,$10+ billion (USD),IntegrateUs Services,Information Technology,Remote,Company - Public,Internet,data scientist,2004.0,4.3,1300,10000+ Employees,1,0,110240.0
230,$10+ billion (USD),Identical Soft,Information Technology,WA,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
231,$2 to $5 billion (USD),PRA Health Sciences,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,statistical programmer 1,1976.0,,630,10000+ Employees,1,0,110240.0
232,$2 to $5 billion (USD),Microsoft,Biotech & Pharmaceuticals,,Company - Public,Biotech & Pharmaceuticals,content developer 1,1976.0,4.1,640,10000+ Employees,1,0,110240.0
233,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,840,10000+ Employees,1,0,110240.0
234,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,Computer Hardware & Software,junior data scientist,1975.0,4.4,1371,10000+ Employees,1,0,110240.0
235,$10+ billion (USD),Pinnacle Group,Manufacturing,TN,Company - Public,Transportation Equipment Manufacturing,data engineer (remote 667-1),1957.0,3.9,853,10000+ Employees,1,0,110240.0
236,$500 million to $1 billion (USD),Allstate,"Oil, Gas, Energy & Utilities",IL,Government,Energy,avail - staff data scientist (remote home based worker),1965.0,4.1,1506,1001 to 5000 Employees,1,0,110240.0
237,$10+ billion (USD),Denken Solutions Inc,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,data science (100% remote),1931.0,3.5,760,10000+ Employees,1,0,110240.0
238,$25 to $50 million (USD),US Internal Revenue Service,Information Technology,VI,Company - Private,IT Services,mathematical statistician (data scientist) or statistician (data scientist),2010.0,4.2,159,201 to 500 Employees,1,0,110240.0
239,$10+ billion (USD),Teladoc Health,Information Technology,CO,Company - Private,Computer Hardware & Software,data engineer,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
240,Unknown / Non-Applicable,Spotify,Information Technology,NY,Company - Public,Internet,"machine learning research scientist, algorithmic impact & responsibility",2006.0,4.0,877,5001 to 10000 Employees,1,0,110240.0
241,Unknown / Non-Applicable,Facebook,Information Technology,Remote,Company - Public,Internet,"data engineer, product analytics",2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
242,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Internet,"data scientist, creation platform",2004.0,4.3,1300,10000+ Employees,1,0,110240.0
243,Unknown / Non-Applicable,McKinsey & Company,Information Technology,MA,Company - Public,Internet,junior data engineer - quantumblack,2006.0,4.2,751,5001 to 10000 Employees,1,0,110240.0
244,Unknown / Non-Applicable,Procter & Gamble,Business Services,OH,Company - Private,Consulting,data scientist masters,1926.0,4.4,573,10000+ Employees,1,0,110240.0
245,$10+ billion (USD),Urbane Systems LLC,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data engineer,1837.0,4.2,1240,10000+ Employees,1,0,110240.0
246,Unknown / Non-Applicable,BridgeBio,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,data engineer/data science engineer,2015.0,4.2,630,201 to 500 Employees,1,0,110240.0
247,Unknown / Non-Applicable,Journey Foods,Biotech & Pharmaceuticals,TX,Company - Public,Biotech & Pharmaceuticals,data scientist,2015.0,4.2,1296,201 to 500 Employees,1,0,110240.0
248,$10+ billion (USD),Salesforce,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data science engineer,1837.0,4.2,693,10000+ Employees,1,0,110240.0
249,$10+ billion (USD),DeepHow,Information Technology,Remote,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,1101,10000+ Employees,1,0,110240.0
250,$2 to $5 billion (USD),Salesforce,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,fall 2021 co-op - data and automation analyst,1976.0,4.1,640,10000+ Employees,1,0,110240.0
